com.samsung.shealth.stress,6210049,7
start_time,custom,binning_data,tag_id,update_time,create_time,max,min,score,algorithm,time_offset,deviceuuid,comment,pkg_name,end_time,datauuid
2020-11-21 07:00:00.000,,fa0b79d5-a149-83c9-cebd-fea891b02eef.binning_data.json,10011,2020-11-21 08:07:48.651,2020-11-21 08:07:48.651,98.0,9.0,66.0,1,UTC+0900,m6sL7dLFqc,,com.sec.android.app.shealth,2020-11-21 07:59:59.999,fa0b79d5-a149-83c9-cebd-fea891b02eef,
2020-11-21 13:00:00.000,,f4471cfe-b3a0-16e1-00f8-0cc02b038a86.binning_data.json,10011,2020-11-21 14:02:07.761,2020-11-21 13:15:01.650,100.0,0.0,64.0,1,UTC+0900,m6sL7dLFqc,,com.sec.android.app.shealth,2020-11-21 13:59:59.999,f4471cfe-b3a0-16e1-00f8-0cc02b038a86,
2020-11-22 00:00:00.000,,5cdf44cc-4ac9-e365-f537-9e68e2e0d639.binning_data.json,10011,2020-11-22 00:18:54.506,2020-11-22 00:18:54.506,100.0,93.0,99.0,1,UTC+0900,m6sL7dLFqc,,com.sec.android.app.shealth,2020-11-22 00:18:54.504,5cdf44cc-4ac9-e365-f537-9e68e2e0d639,
2020-11-22 14:00:00.000,,1b5386c7-7bf6-97b1-1ffa-75de9f638c62.binning_data.json,10011,2020-11-22 15:00:00.925,2020-11-22 15:00:00.925,100.0,84.0,97.0,1,UTC+0900,m6sL7dLFqc,,com.sec.android.app.shealth,2020-11-22 14:59:59.999,1b5386c7-7bf6-97b1-1ffa-75de9f638c62,
2020-11-23 02:00:00.000,,63012cb5-939f-4412-6bd3-6ed6b92af3ab.binning_data.json,10011,2020-11-23 03:10:22.394,2020-11-23 02:08:51.369,99.0,4.0,66.0,1,UTC+0900,m6sL7dLFqc,,com.sec.android.app.shealth,2020-11-23 02:59:59.999,63012cb5-939f-4412-6bd3-6ed6b92af3ab,
2020-11-23 08:00:00.000,,c99904be-908f-38fe-2c6e-1d10a09702c1.binning_data.json,10011,2020-11-23 09:03:53.436,2020-11-23 08:30:30.828,99.0,10.0,67.0,1,UTC+0900,m6sL7dLFqc,,com.sec.android.app.shealth,2020-11-23 08:59:59.999,c99904be-908f-38fe-2c6e-1d10a09702c1,
2020-11-23 15:00:00.000,,cb8be45d-422d-42d1-3f12-45d2be1e78f0.binning_data.json,10011,2020-11-23 16:06:45.415,2020-11-23 16:06:45.415,100.0,8.0,91.0,1,UTC+0900,m6sL7dLFqc,,com.sec.android.app.shealth,2020-11-23 15:59:59.999,cb8be45d-422d-42d1-3f12-45d2be1e78f0,
2020-11-24 03:00:00.000,,9dfe555c-71de-e3c2-f452-d8bdc0cc1ae0.binning_data.json,10011,2020-11-24 04:02:24.638,2020-11-24 03:15:55.494,98.0,13.0,80.0,1,UTC+0900,m6sL7dLFqc,,com.sec.android.app.shealth,2020-11-24 03:59:59.999,9dfe555c-71de-e3c2-f452-d8bdc0cc1ae0,
2020-11-24 09:00:00.000,,268b8676-1bd0-11cb-dec5-ab5203c1cd7d.binning_data.json,10011,2020-11-24 10:04:32.983,2020-11-24 09:13:39.730,100.0,0.0,64.0,1,UTC+0900,m6sL7dLFqc,,com.sec.android.app.shealth,2020-11-24 09:59:59.999,268b8676-1bd0-11cb-dec5-ab5203c1cd7d,
2020-11-24 21:00:00.000,,061cb13e-7587-d898-b8c7-db90845141c3.binning_data.json,10011,2020-11-24 23:18:41.895,2020-11-24 21:24:39.352,100.0,100.0,100.0,1,UTC+0900,m6sL7dLFqc,,com.sec.android.app.shealth,2020-11-24 21:59:59.999,061cb13e-7587-d898-b8c7-db90845141c3,
2020-11-25 04:00:00.000,,e73a47fd-9796-ee8d-2b48-07efa29126c6.binning_data.json,10011,2020-11-25 05:02:00.713,2020-11-25 04:09:13.624,100.0,3.0,75.0,1,UTC+0900,m6sL7dLFqc,,com.sec.android.app.shealth,2020-11-25 04:59:59.999,e73a47fd-9796-ee8d-2b48-07efa29126c6,
2020-11-25 10:00:00.000,,12e2ad2f-06ee-2ff3-ca95-95ee928da971.binning_data.json,10011,2020-11-25 11:00:29.192,2020-11-25 10:52:28.547,100.0,13.0,67.0,1,UTC+0900,m6sL7dLFqc,,com.sec.android.app.shealth,2020-11-25 10:59:59.999,12e2ad2f-06ee-2ff3-ca95-95ee928da971,
2020-11-25 23:00:00.000,,0a881a00-f591-5977-208c-88119a870888.binning_data.json,10011,2020-11-26 00:03:27.255,2020-11-25 23:11:06.642,100.0,0.0,45.0,1,UTC+0900,m6sL7dLFqc,,com.sec.android.app.shealth,2020-11-25 23:59:59.999,0a881a00-f591-5977-208c-88119a870888,
2020-11-26 05:00:00.000,,d3ca314c-4d96-4d22-723c-8385911c78ac.binning_data.json,10011,2020-11-26 06:01:39.849,2020-11-26 05:23:45.883,100.0,8.0,76.0,1,UTC+0900,m6sL7dLFqc,,com.sec.android.app.shealth,2020-11-26 05:59:59.999,d3ca314c-4d96-4d22-723c-8385911c78ac,
2020-11-26 11:00:00.000,,a8461e90-648a-afe4-5181-15d35025e28d.binning_data.json,10011,2020-11-26 12:00:39.641,2020-11-26 11:38:09.952,100.0,4.0,77.0,1,UTC+0900,m6sL7dLFqc,,com.sec.android.app.shealth,2020-11-26 11:59:59.999,a8461e90-648a-afe4-5181-15d35025e28d,
2020-11-27 03:00:00.000,,dbae6a9c-7e0d-aadd-4eed-abb138bcaf76.binning_data.json,10011,2020-11-27 04:03:34.991,2020-11-27 03:08:06.581,97.0,7.0,45.0,1,UTC+0900,m6sL7dLFqc,,com.sec.android.app.shealth,2020-11-27 03:59:59.999,dbae6a9c-7e0d-aadd-4eed-abb138bcaf76,
2020-11-27 09:00:00.000,,396a789d-b432-4e90-c303-9c492fed3f2c.binning_data.json,10011,2020-11-27 10:03:37.178,2020-11-27 09:31:04.117,99.0,61.0,90.0,1,UTC+0900,m6sL7dLFqc,,com.sec.android.app.shealth,2020-11-27 09:59:59.999,396a789d-b432-4e90-c303-9c492fed3f2c,
2020-11-27 15:00:00.000,,6c056fe3-f589-930f-f84b-4b13a505884f.binning_data.json,10011,2020-11-27 16:01:56.515,2020-11-27 16:01:56.515,100.0,12.0,74.0,1,UTC+0900,m6sL7dLFqc,,com.sec.android.app.shealth,2020-11-27 15:59:59.999,6c056fe3-f589-930f-f84b-4b13a505884f,
2020-11-28 07:00:00.000,,21fe0397-3ea5-a4b5-c1ac-286a78732f64.binning_data.json,10011,2020-11-28 08:04:56.013,2020-11-28 07:15:01.525,100.0,0.0,58.0,1,UTC+0900,m6sL7dLFqc,,com.sec.android.app.shealth,2020-11-28 07:59:59.999,21fe0397-3ea5-a4b5-c1ac-286a78732f64,
2020-11-29 15:00:00.000,,8902e13f-16eb-9c49-5937-557565e1c4b4.binning_data.json,10011,2020-11-29 16:00:59.711,2020-11-29 16:00:59.711,1.0,0.0,0.0,1,UTC+0900,m6sL7dLFqc,,com.sec.android.app.shealth,2020-11-29 15:59:59.999,8902e13f-16eb-9c49-5937-557565e1c4b4,
2020-11-30 04:00:00.000,,eba73c9c-112a-4dea-2c03-e60a0163e4e9.binning_data.json,10011,2020-11-30 05:02:58.799,2020-11-30 04:15:24.919,100.0,2.0,77.0,1,UTC+0900,m6sL7dLFqc,,com.sec.android.app.shealth,2020-11-30 04:59:59.999,eba73c9c-112a-4dea-2c03-e60a0163e4e9,
2020-11-30 10:00:00.000,,34ce0d73-0ad1-6212-916c-84eafe760171.binning_data.json,10011,2020-11-30 11:01:47.658,2020-11-30 10:35:01.511,100.0,16.0,84.0,1,UTC+0900,m6sL7dLFqc,,com.sec.android.app.shealth,2020-11-30 10:59:59.999,34ce0d73-0ad1-6212-916c-84eafe760171,
