com.samsung.shealth.tracker.pedometer_day_summary,6210049,5
step_count,binning_data,active_time,recommendation,run_step_count,update_time,source_package_name,create_time,source_info,speed,distance,calorie,walk_step_count,deviceuuid,pkg_name,healthy_step,achievement,datauuid,day_time
10288,4e4c6cd3-ced8-4e51-8fab-0dc3aa299fb5.binning_data.json,5196904,6000,106,2019-02-11 15:00:01.846,com.sec.android.app.shealth,2019-02-11 15:00:01.846,,6.9444447,7814.7397,406.87997,10182,2lBdpDiteS,com.sec.android.app.shealth,2096,4e4c6cd3-ced8-4e51-8fab-0dc3aa299fb5.achievement.json,4e4c6cd3-ced8-4e51-8fab-0dc3aa299fb5,1549843200000,
7017,5a2da917-042b-4e33-b065-697b81d48b0c.binning_data.json,3643782,6000,28,2019-02-12 15:00:04.351,com.sec.android.app.shealth,2019-02-12 15:00:04.351,,2.8611112,5406.84,258.28,6989,2lBdpDiteS,com.sec.android.app.shealth,1540,5a2da917-042b-4e33-b065-697b81d48b0c.achievement.json,5a2da917-042b-4e33-b065-697b81d48b0c,1549929600000,
870,f0efaa9d-0275-4ea2-a059-0e64f747d0bd.binning_data.json,443423,6000,15,2019-02-03 12:16:27.796,com.sec.android.app.shealth,2019-02-02 23:02:41.374,f0efaa9d-0275-4ea2-a059-0e64f747d0bd.source_info.json,1.6042662,711.37,34.489998,855,VfS0qUERdZ,com.sec.android.app.shealth,0,f0efaa9d-0275-4ea2-a059-0e64f747d0bd.achievement.json,f0efaa9d-0275-4ea2-a059-0e64f747d0bd,1549152000000,
10465,8097e97e-e463-46ed-9194-993a147f82d0.binning_data.json,5348879,6000,6,2019-02-14 15:00:08.352,com.sec.android.app.shealth,2019-02-14 15:00:08.352,,3.7222226,8031.7896,382.40994,10459,2lBdpDiteS,com.sec.android.app.shealth,2538,8097e97e-e463-46ed-9194-993a147f82d0.achievement.json,8097e97e-e463-46ed-9194-993a147f82d0,1550102400000,
5331,f0c3b1ae-3cb6-4309-af71-8d5cea45f224.binning_data.json,2762783,6000,39,2019-02-02 14:57:40.770,com.sec.android.app.shealth,2019-02-01 15:17:00.789,f0c3b1ae-3cb6-4309-af71-8d5cea45f224.source_info.json,1.4342852,3962.6199,206.82997,5292,VfS0qUERdZ,com.sec.android.app.shealth,0,f0c3b1ae-3cb6-4309-af71-8d5cea45f224.achievement.json,f0c3b1ae-3cb6-4309-af71-8d5cea45f224,1549065600000,
11904,4d459811-7b6f-4013-8a23-f2c00aa74ae9.binning_data.json,6245086,6000,72,2019-02-15 15:00:03.155,com.sec.android.app.shealth,2019-02-15 15:00:03.155,,3.75,8998.65,452.41998,11832,2lBdpDiteS,com.sec.android.app.shealth,3804,4d459811-7b6f-4013-8a23-f2c00aa74ae9.achievement.json,4d459811-7b6f-4013-8a23-f2c00aa74ae9,1550188800000,
133,3798f5f2-6a2d-485c-8d38-d47d343d8fca.binning_data.json,70378,6000,1,2019-02-06 14:59:04.404,com.sec.android.app.shealth,2019-02-05 23:54:38.124,3798f5f2-6a2d-485c-8d38-d47d343d8fca.source_info.json,1.4744529,103.770004,4.7299995,132,VfS0qUERdZ,com.sec.android.app.shealth,0,3798f5f2-6a2d-485c-8d38-d47d343d8fca.achievement.json,3798f5f2-6a2d-485c-8d38-d47d343d8fca,1549411200000,
13326,66e5437b-0f11-48f2-b58b-90851a5178f6.binning_data.json,6918492,6000,114,2019-02-17 15:02:33.498,com.sec.android.app.shealth,2019-02-17 15:00:03.952,,3.8888886,10038.12,516.55994,13212,2lBdpDiteS,com.sec.android.app.shealth,2600,66e5437b-0f11-48f2-b58b-90851a5178f6.achievement.json,66e5437b-0f11-48f2-b58b-90851a5178f6,1550361600000,
1274,f7c93ca9-1bcf-4881-9b86-3821b4a8410b.binning_data.json,657069,6000,26,2019-02-05 09:28:29.237,com.sec.android.app.shealth,2019-02-04 21:10:51.242,f7c93ca9-1bcf-4881-9b86-3821b4a8410b.source_info.json,1.5268404,1003.24,48.079998,1248,VfS0qUERdZ,com.sec.android.app.shealth,0,f7c93ca9-1bcf-4881-9b86-3821b4a8410b.achievement.json,f7c93ca9-1bcf-4881-9b86-3821b4a8410b,1549324800000,
10929,2976c911-1680-4959-a1ce-50cc9ccd12f8.binning_data.json,5366840,6000,357,2019-02-20 15:01:00.875,com.sec.android.app.shealth,2019-02-20 15:01:00.875,,3.6388888,8842.75,406.75998,10572,2lBdpDiteS,com.sec.android.app.shealth,0,2976c911-1680-4959-a1ce-50cc9ccd12f8.achievement.json,2976c911-1680-4959-a1ce-50cc9ccd12f8,1550620800000,
