com.samsung.health.sleep_stage,6210049,6
start_time,sleep_id,custom,update_time,create_time,stage,time_offset,deviceuuid,pkg_name,end_time,datauuid
2020-11-10 18:12:00.000,b2319c5e-bfe9-9dae-c6ab-0f9c010ff400,,2020-11-10 21:20:52.226,2020-11-10 21:20:52.226,40001,UTC+0900,2lBdpDiteS,com.sec.android.app.shealth,2020-11-10 18:14:00.000,5349f609-447d-40bd-8c00-86db1cad038a,
2020-11-10 18:22:00.000,b2319c5e-bfe9-9dae-c6ab-0f9c010ff400,,2020-11-10 21:20:52.229,2020-11-10 21:20:52.229,40001,UTC+0900,2lBdpDiteS,com.sec.android.app.shealth,2020-11-10 18:24:00.000,c4f58ac4-6e15-4700-82c0-d85ca3ee5a89,
2020-11-10 19:46:00.000,b2319c5e-bfe9-9dae-c6ab-0f9c010ff400,,2020-11-10 21:20:52.244,2020-11-10 21:20:52.244,40001,UTC+0900,2lBdpDiteS,com.sec.android.app.shealth,2020-11-10 19:47:00.000,850dda0d-de7e-4f92-befc-d16cdc70172a,
2020-11-10 20:31:00.000,b2319c5e-bfe9-9dae-c6ab-0f9c010ff400,,2020-11-10 21:20:52.254,2020-11-10 21:20:52.254,40004,UTC+0900,2lBdpDiteS,com.sec.android.app.shealth,2020-11-10 21:06:00.000,2bc7c31d-a878-4973-93fa-53751784b7d9,
2020-11-11 15:57:00.000,ebb5cbcd-806a-eeef-1d2c-e652d5932230,,2020-11-11 20:02:17.972,2020-11-11 20:02:17.972,40001,UTC+0900,2lBdpDiteS,com.sec.android.app.shealth,2020-11-11 16:00:00.000,16b599e2-4261-4dfa-b64b-ff054fe51178,
2020-11-11 17:17:00.000,ebb5cbcd-806a-eeef-1d2c-e652d5932230,,2020-11-11 20:02:17.980,2020-11-11 20:02:17.980,40002,UTC+0900,2lBdpDiteS,com.sec.android.app.shealth,2020-11-11 18:15:00.000,8d8c8239-c349-4e1c-8d64-9ae013c14946,
2020-11-11 18:27:00.000,ebb5cbcd-806a-eeef-1d2c-e652d5932230,,2020-11-11 20:02:17.985,2020-11-11 20:02:17.985,40001,UTC+0900,2lBdpDiteS,com.sec.android.app.shealth,2020-11-11 18:29:00.000,5ea99a64-6a97-453e-9e88-f2b28c81276d,
2020-11-11 18:54:00.000,ebb5cbcd-806a-eeef-1d2c-e652d5932230,,2020-11-11 20:02:17.990,2020-11-11 20:02:17.990,40002,UTC+0900,2lBdpDiteS,com.sec.android.app.shealth,2020-11-11 18:55:00.000,c13e0d96-1f36-4018-80bf-18a61596d72a,
2020-11-11 20:57:00.000,cc42a3aa-deb2-e1f4-e5bb-0b355f5dc8f0,,2020-11-11 21:21:20.289,2020-11-11 21:21:20.289,40003,UTC+0900,2lBdpDiteS,com.sec.android.app.shealth,2020-11-11 21:21:00.000,98e6c1fb-5b75-4ad8-8a7f-a441d974e0ce,
2020-11-12 16:41:00.000,5ed17183-8a25-b2a4-bc24-02b9ea19db35,,2020-11-12 21:22:26.391,2020-11-12 21:22:26.391,40002,UTC+0900,2lBdpDiteS,com.sec.android.app.shealth,2020-11-12 16:46:00.000,1529cefa-7807-46e3-bc70-7c6d86ae740b,
2020-11-12 18:05:00.000,5ed17183-8a25-b2a4-bc24-02b9ea19db35,,2020-11-12 21:22:26.394,2020-11-12 21:22:26.394,40002,UTC+0900,2lBdpDiteS,com.sec.android.app.shealth,2020-11-12 18:22:00.000,e61e0303-8323-47c9-a4ce-11da5bb7e6b3,
2020-11-12 18:52:00.000,5ed17183-8a25-b2a4-bc24-02b9ea19db35,,2020-11-12 21:22:26.398,2020-11-12 21:22:26.398,40001,UTC+0900,2lBdpDiteS,com.sec.android.app.shealth,2020-11-12 18:53:00.000,c09b436a-5e64-437e-bfd2-3a34c50b1020,
2020-11-12 19:32:00.000,5ed17183-8a25-b2a4-bc24-02b9ea19db35,,2020-11-12 21:22:26.401,2020-11-12 21:22:26.401,40001,UTC+0900,2lBdpDiteS,com.sec.android.app.shealth,2020-11-12 19:33:00.000,6732e8ba-4fc3-4ae0-9941-830b9c211a8a,
2020-11-12 20:39:00.000,5ed17183-8a25-b2a4-bc24-02b9ea19db35,,2020-11-12 21:22:26.404,2020-11-12 21:22:26.404,40002,UTC+0900,2lBdpDiteS,com.sec.android.app.shealth,2020-11-12 20:57:00.000,5115f8c9-1e3b-49a0-beb6-d0dabe7cbecc,
2020-11-12 21:14:00.000,5ed17183-8a25-b2a4-bc24-02b9ea19db35,,2020-11-12 21:22:26.408,2020-11-12 21:22:26.408,40001,UTC+0900,2lBdpDiteS,com.sec.android.app.shealth,2020-11-12 21:20:00.000,788b7d55-00ec-4e67-bb47-57cb9cd47788,
2020-11-13 14:57:00.000,30621ebe-9cd2-851a-ffc9-6a09d97c5643,,2020-11-13 22:05:26.156,2020-11-13 22:05:26.156,40002,UTC+0900,2lBdpDiteS,com.sec.android.app.shealth,2020-11-13 15:08:00.000,d7c82355-299c-4ccc-aa69-adf2410792b2,
2020-11-13 16:28:00.000,30621ebe-9cd2-851a-ffc9-6a09d97c5643,,2020-11-13 22:05:26.157,2020-11-13 22:05:26.157,40001,UTC+0900,2lBdpDiteS,com.sec.android.app.shealth,2020-11-13 16:29:00.000,c0465c98-dbc6-42db-be8c-8b2b6857d647,
2020-11-13 16:35:00.000,30621ebe-9cd2-851a-ffc9-6a09d97c5643,,2020-11-13 22:05:26.158,2020-11-13 22:05:26.158,40001,UTC+0900,2lBdpDiteS,com.sec.android.app.shealth,2020-11-13 16:36:00.000,780b6115-fad3-49c8-bf42-cac9a2585e49,
2020-11-13 17:08:00.000,30621ebe-9cd2-851a-ffc9-6a09d97c5643,,2020-11-13 22:05:26.159,2020-11-13 22:05:26.159,40001,UTC+0900,2lBdpDiteS,com.sec.android.app.shealth,2020-11-13 17:09:00.000,c1468f56-b33b-4075-8809-d8295d81ee8a,
2020-11-13 17:57:00.000,30621ebe-9cd2-851a-ffc9-6a09d97c5643,,2020-11-13 22:05:26.161,2020-11-13 22:05:26.161,40002,UTC+0900,2lBdpDiteS,com.sec.android.app.shealth,2020-11-13 18:03:00.000,6e1161ad-9e3f-4654-9b83-ee6912df85ee,
2020-11-13 18:15:00.000,30621ebe-9cd2-851a-ffc9-6a09d97c5643,,2020-11-13 22:05:26.162,2020-11-13 22:05:26.162,40002,UTC+0900,2lBdpDiteS,com.sec.android.app.shealth,2020-11-13 18:17:00.000,dfb82286-5d72-45b0-8d57-eadc69380fa3,
2020-11-13 18:34:00.000,30621ebe-9cd2-851a-ffc9-6a09d97c5643,,2020-11-13 22:05:26.163,2020-11-13 22:05:26.163,40002,UTC+0900,2lBdpDiteS,com.sec.android.app.shealth,2020-11-13 19:02:00.000,336f9898-1aba-4131-9fdc-ad2266281785,
2020-11-13 19:51:00.000,30621ebe-9cd2-851a-ffc9-6a09d97c5643,,2020-11-13 22:05:26.164,2020-11-13 22:05:26.164,40001,UTC+0900,2lBdpDiteS,com.sec.android.app.shealth,2020-11-13 19:52:00.000,93063486-434f-407a-8e6f-de0b13be8f03,
2020-11-13 20:03:00.000,30621ebe-9cd2-851a-ffc9-6a09d97c5643,,2020-11-13 22:05:26.165,2020-11-13 22:05:26.165,40001,UTC+0900,2lBdpDiteS,com.sec.android.app.shealth,2020-11-13 20:05:00.000,92528e97-3eca-4eae-bf42-b7a076b26db7,
2020-11-13 20:58:00.000,30621ebe-9cd2-851a-ffc9-6a09d97c5643,,2020-11-13 22:05:26.166,2020-11-13 22:05:26.166,40001,UTC+0900,2lBdpDiteS,com.sec.android.app.shealth,2020-11-13 20:59:00.000,184a0a58-95d7-4842-bdb6-ea7e3556309a,
2020-11-13 21:44:00.000,30621ebe-9cd2-851a-ffc9-6a09d97c5643,,2020-11-13 22:05:26.167,2020-11-13 22:05:26.167,40002,UTC+0900,2lBdpDiteS,com.sec.android.app.shealth,2020-11-13 21:52:00.000,369ce25c-99c8-4b1b-8820-b79b3e72e9a2,
2020-11-15 15:13:00.000,1b8c3f3c-6a94-720b-8352-b4979a07c555,,2020-11-15 21:38:03.392,2020-11-15 21:38:03.392,40001,UTC+0900,2lBdpDiteS,com.sec.android.app.shealth,2020-11-15 15:14:00.000,acbfe4c7-1340-4392-9f37-d859bfe4edfd,
2020-11-15 15:37:00.000,1b8c3f3c-6a94-720b-8352-b4979a07c555,,2020-11-15 21:38:03.396,2020-11-15 21:38:03.396,40001,UTC+0900,2lBdpDiteS,com.sec.android.app.shealth,2020-11-15 15:39:00.000,15254486-6860-4fa7-8c45-f4395572cf6d,
2020-11-15 15:54:00.000,1b8c3f3c-6a94-720b-8352-b4979a07c555,,2020-11-15 21:38:03.406,2020-11-15 21:38:03.406,40001,UTC+0900,2lBdpDiteS,com.sec.android.app.shealth,2020-11-15 15:55:00.000,b57b320b-b062-42c5-88b2-b32571738372,
2020-11-15 16:58:00.000,1b8c3f3c-6a94-720b-8352-b4979a07c555,,2020-11-15 21:38:03.417,2020-11-15 21:38:03.417,40001,UTC+0900,2lBdpDiteS,com.sec.android.app.shealth,2020-11-15 16:59:00.000,89984953-d579-4c04-900d-1224e5d5efd1,
2020-11-15 17:39:00.000,1b8c3f3c-6a94-720b-8352-b4979a07c555,,2020-11-15 21:38:03.424,2020-11-15 21:38:03.424,40002,UTC+0900,2lBdpDiteS,com.sec.android.app.shealth,2020-11-15 17:48:00.000,2b2fd328-f2eb-4b25-af96-7d223dc49452,
