com.samsung.shealth.sleep,6210049,5
original_efficiency,mental_recovery,factor_01,factor_02,factor_03,factor_04,factor_05,factor_06,factor_07,factor_08,factor_09,factor_10,has_sleep_data,combined_id,data_version,physical_recovery,original_wake_up_time,movement_awakening,original_bed_time,quality,extra_data,sleep_cycle,efficiency,sleep_score,sleep_duration,com.samsung.health.sleep.start_time,com.samsung.health.sleep.custom,com.samsung.health.sleep.update_time,com.samsung.health.sleep.create_time,com.samsung.health.sleep.time_offset,com.samsung.health.sleep.deviceuuid,com.samsung.health.sleep.comment,com.samsung.health.sleep.pkg_name,com.samsung.health.sleep.end_time,com.samsung.health.sleep.datauuid
,75.0,12,12,9,0,49,272,169,0,39,0,0,,1,34.0,,38.0,,,dabec825-8fa4-94d8-7278-818acd9047fa.extra_data.json,1,81.0,53,272,2021-05-06 16:45:00.000,,2021-05-06 21:21:24.102,2021-05-06 21:21:20.330,UTC+0900,m6sL7dLFqc,,com.sec.android.app.shealth,2021-05-06 21:17:00.000,dabec825-8fa4-94d8-7278-818acd9047fa,
,54.0,0,21,3,16,62,405,60,2,29,0,0,,1,46.0,,27.0,,,6361a384-4f88-fadf-bec7-2cc216df9091.extra_data.json,4,84.0,49,405,2021-05-13 15:50:00.000,,2021-05-13 22:38:45.829,2021-05-13 22:38:28.329,UTC+0900,m6sL7dLFqc,,com.sec.android.app.shealth,2021-05-13 22:35:00.000,6361a384-4f88-fadf-bec7-2cc216df9091,
,36.0,0,52,4,44,91,653,67,2,57,0,0,,1,73.0,,29.0,,,0641ff97-66f0-47b4-6bb0-ed05343e1a2f.extra_data.json,6,86.0,43,653,2021-05-14 15:58:00.000,,2021-05-15 02:53:29.132,2021-05-15 02:53:24.101,UTC+0900,m6sL7dLFqc,,com.sec.android.app.shealth,2021-05-15 02:51:00.000,0641ff97-66f0-47b4-6bb0-ed05343e1a2f,
,65.0,23,42,3,10,16,328,88,1,4,0,0,,1,56.0,,10.0,,,f6619570-3233-4ecd-61a9-5c4b23934a45.extra_data.json,3,95.0,71,328,2021-05-17 16:37:00.000,,2021-05-17 22:05:26.257,2021-05-17 22:05:23.630,UTC+0900,m6sL7dLFqc,,com.sec.android.app.shealth,2021-05-17 22:05:00.000,f6619570-3233-4ecd-61a9-5c4b23934a45,
,82.0,36,36,9,3,41,310,139,0,30,0,0,,1,53.0,,29.0,,,78c758f9-4cb8-6f39-3acf-3b0108b1f0e5.extra_data.json,3,86.0,70,310,2021-05-18 18:48:00.000,,2021-05-19 00:14:10.458,2021-05-19 00:14:07.276,UTC+0900,m6sL7dLFqc,,com.sec.android.app.shealth,2021-05-18 23:58:00.000,78c758f9-4cb8-6f39-3acf-3b0108b1f0e5,
,52.0,29,39,2,13,42,385,77,3,26,0,0,,1,64.0,,20.0,,,edd76bb8-b38e-9988-517c-70f9de6a213a.extra_data.json,5,89.0,66,385,2021-05-22 17:37:00.000,,2021-05-23 00:02:09.516,2021-05-23 00:02:06.572,UTC+0900,m6sL7dLFqc,,com.sec.android.app.shealth,2021-05-23 00:02:00.000,edd76bb8-b38e-9988-517c-70f9de6a213a,
,74.0,35,35,12,6,28,296,168,0,7,0,0,,1,50.0,,19.0,,,025c791c-be86-34f0-b2eb-599a805565c8.extra_data.json,2,90.0,64,296,2021-05-23 16:29:00.000,,2021-05-23 21:25:58.027,2021-05-23 21:25:55.351,UTC+0900,m6sL7dLFqc,,com.sec.android.app.shealth,2021-05-23 21:25:00.000,025c791c-be86-34f0-b2eb-599a805565c8,
,83.0,24,24,1,2,23,264,60,0,5,1,0,,1,51.0,,12.0,,,cf9c5689-813c-2656-75c6-5fa2d52a6c88.extra_data.json,3,90.0,78,265,2021-05-27 16:31:06.248,,2021-05-28 03:26:45.946,2021-05-28 00:32:46.913,UTC+0900,m6sL7dLFqc,,com.sec.android.app.shealth,2021-05-27 20:56:06.248,cf9c5689-813c-2656-75c6-5fa2d52a6c88,
,49.0,30,30,3,21,27,263,90,2,15,0,0,,1,51.0,,19.0,,,ad3b05a8-0171-e86d-f4a9-c232b247a9ec.extra_data.json,4,89.0,60,263,2021-05-28 17:16:00.000,,2021-05-28 21:39:43.350,2021-05-28 21:39:40.597,UTC+0900,m6sL7dLFqc,,com.sec.android.app.shealth,2021-05-28 21:39:00.000,ad3b05a8-0171-e86d-f4a9-c232b247a9ec,
,68.0,41,53,4,12,41,444,88,1,14,0,0,,1,75.0,,17.0,,,4cd0926d-799b-ba97-12b6-063088d989c1.extra_data.json,4,90.0,78,444,2021-06-02 15:53:00.000,,2021-06-02 23:19:36.542,2021-06-02 23:17:41.341,UTC+0900,m6sL7dLFqc,,com.sec.android.app.shealth,2021-06-02 23:17:00.000,4cd0926d-799b-ba97-12b6-063088d989c1,
,80.0,18,18,4,5,18,294,92,0,3,0,0,,1,43.0,,11.0,,,14aec4bb-0b66-a6ac-3ba1-c56086836c0e.extra_data.json,3,93.0,76,294,2021-06-03 16:46:00.000,,2021-06-03 21:42:50.698,2021-06-03 21:42:47.349,UTC+0900,m6sL7dLFqc,,com.sec.android.app.shealth,2021-06-03 21:40:00.000,14aec4bb-0b66-a6ac-3ba1-c56086836c0e,
,75.0,16,16,6,0,25,128,89,0,25,0,0,,1,32.0,,46.0,,,400a7180-0888-e482-e2ef-29071f8c8296.extra_data.json,1,80.0,66,128,2021-06-13 07:10:00.000,,2021-06-13 09:31:49.950,2021-06-13 09:30:10.389,UTC+0900,m6sL7dLFqc,,com.sec.android.app.shealth,2021-06-13 09:18:00.000,400a7180-0888-e482-e2ef-29071f8c8296,
,59.0,0,0,2,6,9,90,90,1,6,0,0,85225470-242b-45a7-b506-2f2baa1a7a71,1,9.0,,19.0,,,018f6b35-32f7-dcef-cf60-9f527e8faacc.extra_data.json,1,90.0,36,90,2021-06-13 17:03:00.000,,2021-06-13 21:41:54.000,2021-06-13 18:40:42.322,UTC+0900,m6sL7dLFqc,,com.sec.android.app.shealth,2021-06-13 18:33:00.000,018f6b35-32f7-dcef-cf60-9f527e8faacc,
,48.0,71,71,7,7,57,357,162,2,48,0,0,,1,73.0,,34.0,,,2209ea19-161c-e72f-eb3c-4cf40b66bf2a.extra_data.json,1,84.0,63,357,2021-06-22 16:20:00.000,,2021-06-22 22:31:02.609,2021-06-22 22:17:18.883,UTC+0900,m6sL7dLFqc,,com.sec.android.app.shealth,2021-06-22 22:17:00.000,2209ea19-161c-e72f-eb3c-4cf40b66bf2a,
,73.0,34,34,13,12,54,394,169,0,30,0,0,,1,56.0,,29.0,,,4875ff9d-eb6b-44af-39f6-9525a668a6be.extra_data.json,3,86.0,69,394,2021-06-23 16:31:00.000,,2021-06-23 23:07:35.214,2021-06-23 23:06:28.888,UTC+0900,m6sL7dLFqc,,com.sec.android.app.shealth,2021-06-23 23:05:00.000,4875ff9d-eb6b-44af-39f6-9525a668a6be,
,45.0,17,17,3,25,70,386,76,2,57,0,0,,1,52.0,,37.0,,,251f3085-e198-4673-a582-cec019bdb9db.extra_data.json,4,81.0,54,386,2021-07-26 16:09:00.000,,2021-07-26 22:38:31.804,2021-07-26 22:35:11.525,UTC+0900,m6sL7dLFqc,,com.sec.android.app.shealth,2021-07-26 22:35:00.000,251f3085-e198-4673-a582-cec019bdb9db,
