com.samsung.shealth.report,6210049,3
timezone,start_date,update_time,create_time,type,is_empty,version,deviceuuid,content,pkg_name,datauuid,compressed_content
Asia/Seoul,1594479600000,2020-07-19 06:41:42.539,2020-07-19 06:41:39.991,0,0,2,2lBdpDiteS,X,com.sec.android.app.shealth,4af6066d-c142-4395-87f4-2786dfa1e420,4af6066d-c142-4395-87f4-2786dfa1e420.compressed_content.json,
Asia/Seoul,1555167600000,2019-04-27 06:59:55.512,2019-04-21 07:00:19.778,0,0,2,2lBdpDiteS,X,com.sec.android.app.shealth,30e2e0d0-59c5-4299-b08c-df811df7d3d1,30e2e0d0-59c5-4299-b08c-df811df7d3d1.compressed_content.json,
Asia/Seoul,1598108400000,2020-08-30 06:43:01.964,2020-08-30 06:43:00.576,0,0,2,2lBdpDiteS,X,com.sec.android.app.shealth,80df0205-c022-466a-bdb8-fc59c8c0090d,80df0205-c022-466a-bdb8-fc59c8c0090d.compressed_content.json,
Asia/Seoul,1558796400000,2019-06-08 06:41:07.006,2019-06-02 06:27:48.793,0,0,2,2lBdpDiteS,X,com.sec.android.app.shealth,07077708-05e0-436c-bf89-b8f064de1897,07077708-05e0-436c-bf89-b8f064de1897.compressed_content.json,
Asia/Seoul,1601737200000,2020-10-11 07:28:48.175,2020-10-11 07:28:46.901,0,0,2,2lBdpDiteS,X,com.sec.android.app.shealth,506b3f0d-b62a-415d-9feb-54d275a44f49,506b3f0d-b62a-415d-9feb-54d275a44f49.compressed_content.json,
Asia/Seoul,1605366000000,2020-11-22 06:40:42.423,2020-11-22 06:40:41.316,0,0,2,2lBdpDiteS,X,com.sec.android.app.shealth,edf8b9f8-73d5-4511-bfbe-eda0ab84903b,edf8b9f8-73d5-4511-bfbe-eda0ab84903b.compressed_content.json,
Asia/Seoul,1562425200000,2019-07-19 06:41:02.059,2019-07-14 06:40:41.683,0,0,2,2lBdpDiteS,X,com.sec.android.app.shealth,25676b75-a601-4735-afdd-f27abdcf118b,25676b75-a601-4735-afdd-f27abdcf118b.compressed_content.json,
Asia/Seoul,1608994800000,2021-01-04 06:40:41.725,2021-01-03 06:41:03.080,0,0,2,2lBdpDiteS,X,com.sec.android.app.shealth,e9197d68-0dde-4a9d-96b8-69bc64de48e0,e9197d68-0dde-4a9d-96b8-69bc64de48e0.compressed_content.json,
Asia/Seoul,1566054000000,2019-08-31 06:03:45.857,2019-08-25 05:28:50.546,0,0,2,2lBdpDiteS,X,com.sec.android.app.shealth,19a060e1-4266-4328-a517-a28025da69c1,19a060e1-4266-4328-a517-a28025da69c1.compressed_content.json,
Asia/Seoul,1612623600000,2021-02-14 07:13:21.412,2021-02-14 07:13:20.230,0,0,2,2lBdpDiteS,X,com.sec.android.app.shealth,a3d901d4-2f01-4c5c-a1b6-b04261b4c3d1,a3d901d4-2f01-4c5c-a1b6-b04261b4c3d1.compressed_content.json,
Asia/Seoul,1569682800000,2019-10-06 06:02:19.982,2019-10-06 06:02:18.400,0,0,2,2lBdpDiteS,X,com.sec.android.app.shealth,cde2d44f-1ae0-413d-9dd3-9230b260f538,cde2d44f-1ae0-413d-9dd3-9230b260f538.compressed_content.json,
Asia/Seoul,1616857200000,2021-04-04 05:39:01.900,2021-04-04 05:39:00.147,0,0,2,Nz95nEBsYs,X,com.sec.android.app.shealth,1c23484a-5a46-49b3-b0e9-408ab281523f,1c23484a-5a46-49b3-b0e9-408ab281523f.compressed_content.json,
Asia/Seoul,1573311600000,2019-11-17 06:42:06.228,2019-11-17 06:42:04.445,0,0,2,2lBdpDiteS,X,com.sec.android.app.shealth,58eab7af-6b92-4eec-8332-80f1a03d4c47,58eab7af-6b92-4eec-8332-80f1a03d4c47.compressed_content.json,
Asia/Seoul,1620486000000,2021-05-16 05:52:21.317,2021-05-16 05:52:20.627,0,0,2,Nz95nEBsYs,X,com.sec.android.app.shealth,811da48f-298c-40af-90ce-f0cf7779ceb7,811da48f-298c-40af-90ce-f0cf7779ceb7.compressed_content.json,
Asia/Seoul,1576940400000,2019-12-29 06:41:02.206,2019-12-29 06:41:01.132,0,0,2,2lBdpDiteS,X,com.sec.android.app.shealth,dc3fd2a4-6bf4-4fb5-9d78-a3b738d35397,dc3fd2a4-6bf4-4fb5-9d78-a3b738d35397.compressed_content.json,
Asia/Seoul,1624114800000,2021-06-27 05:37:53.654,2021-06-27 05:37:52.960,0,0,2,Nz95nEBsYs,X,com.sec.android.app.shealth,b4798cc5-ef0d-4ed8-b851-0bfd4fdf86a7,b4798cc5-ef0d-4ed8-b851-0bfd4fdf86a7.compressed_content.json,
Asia/Seoul,1548514800000,2019-02-09 06:40:44.807,2019-02-03 06:41:01.715,0,0,2,2lBdpDiteS,X,com.sec.android.app.shealth,51708b39-72c0-43d2-9857-c513c4cacaee,51708b39-72c0-43d2-9857-c513c4cacaee.compressed_content.json,
Asia/Seoul,1580569200000,2020-02-09 07:54:34.972,2020-02-09 07:54:30.080,0,0,2,2lBdpDiteS,X,com.sec.android.app.shealth,4f03ef35-1a64-4b29-9f9f-4ba632d1b3d1,4f03ef35-1a64-4b29-9f9f-4ba632d1b3d1.compressed_content.json,
Asia/Seoul,1627743600000,2021-08-08 05:37:49.106,2021-08-08 05:37:47.589,0,0,2,Nz95nEBsYs,X,com.sec.android.app.shealth,14100723-0792-4580-ad50-4d4cb1d9f497,14100723-0792-4580-ad50-4d4cb1d9f497.compressed_content.json,
Asia/Seoul,1631372400000,2021-09-19 05:37:58.433,2021-09-19 05:37:56.799,0,0,2,Nz95nEBsYs,X,com.sec.android.app.shealth,92b125c1-7eaa-4ad7-8e2f-af080dc4f6c4,92b125c1-7eaa-4ad7-8e2f-af080dc4f6c4.compressed_content.json,
Asia/Seoul,1584198000000,2020-03-22 06:41:03.676,2020-03-22 06:41:01.036,0,0,2,2lBdpDiteS,X,com.sec.android.app.shealth,c83f4520-380b-4461-8757-f37f95a9dd24,c83f4520-380b-4461-8757-f37f95a9dd24.compressed_content.json,
Asia/Seoul,1552143600000,2019-03-23 06:40:43.190,2019-03-17 06:40:52.762,0,0,2,2lBdpDiteS,X,com.sec.android.app.shealth,a66fa370-1b2e-431e-863b-2105b8aab6ec,a66fa370-1b2e-431e-863b-2105b8aab6ec.compressed_content.json,
