com.samsung.shealth.activity.day_summary,6210049,2
step_count,active_time,target,others_time,update_time,create_time,goal,longest_active_time,score,distance,calorie,extra_data,deviceuuid,run_time,pkg_name,walk_time,longest_idle_time,datauuid,day_time
7017,4486075,,0,2019-02-12 13:56:12.169,2019-02-11 15:00:00.356,60,992487,123,5429.148,259.27866,c5992f4d-e47e-40f6-bee6-029faded3452.extra_data.json,2lBdpDiteS,8726,com.sec.android.app.shealth,4477349,27060000,c5992f4d-e47e-40f6-bee6-029faded3452,1549929600000,
7913,4937870,,0,2019-02-21 14:56:37.080,2019-02-20 15:00:00.380,60,1260000,136,6136.9795,299.4103,d5a55af8-cab1-41f5-90a0-2e2a8e6081d4.extra_data.json,2lBdpDiteS,7600,com.sec.android.app.shealth,4930270,20760000,d5a55af8-cab1-41f5-90a0-2e2a8e6081d4,1550707200000,
3344,1927766,,0,2019-02-10 12:26:03.484,2019-02-09 15:00:00.660,60,420000,51,2538.7998,119.320015,56541490-88fe-4f83-ab2d-58efa486b367.extra_data.json,2lBdpDiteS,13752,com.sec.android.app.shealth,1914014,34080000,56541490-88fe-4f83-ab2d-58efa486b367,1549756800000,
0,0,,0,2018-11-03 01:46:54.972,2018-11-03 01:46:54.972,-1,0,0,0.0,0.0,bca6b92f-8c6c-4eab-ad5b-ca33e7a310ea.extra_data.json,2lBdpDiteS,0,com.sec.android.app.shealth,0,-1,bca6b92f-8c6c-4eab-ad5b-ca33e7a310ea,1541030400000,
3676,2311141,,0,2019-02-18 14:42:25.599,2019-02-17 15:00:01.291,60,966185,63,2810.3342,142.646,f529d3df-b6c4-4e43-acce-59772bf01140.extra_data.json,2lBdpDiteS,7891,com.sec.android.app.shealth,2303250,32700000,f529d3df-b6c4-4e43-acce-59772bf01140,1550448000000,
7454,4465915,,0,2019-02-23 13:29:18.321,2019-02-22 15:00:00.827,60,540000,123,5517.409,294.1999,2530c485-ab26-465b-9d3d-b9c9d5576323.extra_data.json,2lBdpDiteS,12951,com.sec.android.app.shealth,4452964,23040000,2530c485-ab26-465b-9d3d-b9c9d5576323,1550880000000,
0,0,,0,2019-01-12 06:06:12.984,2019-01-12 06:06:12.984,-1,0,0,0.0,0.0,c3a750aa-4027-4671-ba66-ce36caafa6de.extra_data.json,2lBdpDiteS,0,com.sec.android.app.shealth,0,-1,c3a750aa-4027-4671-ba66-ce36caafa6de,1545177600000,
13140,8112118,,0,2019-02-27 14:56:59.635,2019-02-26 15:00:01.738,60,1147478,223,9863.325,527.03937,8857d6b6-9500-434d-be21-698596d64c29.extra_data.json,2lBdpDiteS,33282,com.sec.android.app.shealth,8078836,31380000,8857d6b6-9500-434d-be21-698596d64c29,1551225600000,
10126,6306214,,0,2019-02-13 15:14:38.826,2019-02-12 15:00:00.944,60,240000,173,7419.851,399.83987,50dafc3b-ea58-4f74-a1d2-1004b0723191.extra_data.json,2lBdpDiteS,53256,com.sec.android.app.shealth,6252958,25440000,50dafc3b-ea58-4f74-a1d2-1004b0723191,1550016000000,
0,0,,0,2019-01-12 06:06:13.505,2019-01-12 06:06:13.505,-1,0,0,0.0,0.0,dd88a8ff-4318-4c00-b369-c2df6e945462.extra_data.json,2lBdpDiteS,0,com.sec.android.app.shealth,0,-1,dd88a8ff-4318-4c00-b369-c2df6e945462,1545696000000,
